"","Kansas","Missouri","Nebraska","Arkansas","Oklahoma"
"Nov.18","4072","6715","2865","5014","6287"
"Dec.18","4922","7060","3343","5435","6798"
"Jan.19","4378","8012","3330","6040","7201"
"Feb.19","4437","6813","2989","5526","6334"
"Mar.19","4147","6574","3124","5121","6308"
"Apr.19","3608","4863","2729","4141","6310"
"May.19","3928","5914","2443","5204","6217"
"Jun.19","4112","6342","3146","5443","7340"
"Jul.19","4834","7664","3501","6056","8905"
"Aug.19","4406","7404","3332","6501","8916"
"Sep.19","4672","6364","3245","6093","8143"
"Oct.19","3533","5738","2909","4689","6879"
"Nov.19","4365","6161","3096","4610","5784"
"Dec.19","4469","6429","3454","5019","6879"
"Jan.20","4365","7035","3575","4447","7150"
"Feb.20","4141","6447","3253","4201","6692"
"Mar.20","4035","5356","3016","4403","6281"
"Apr.20","3955","4409","2694","3235","6009"
"May.20","3978","5118","2822","4095","6375"
"Jun.20","5359","6095","3207","4810","8157"
"Jul.20","5062","7397","3647","6361","9032"
"Aug.20","5148","7373","3300","6399","8077"
"Sep.20","4491","6093","2665","4457","6560"
"Oct.20","4480","5299","2561","4182","5982"
"Nov.20","4647","5331","2778","3613","5230"
"Dec.20","4882","6614","3331","4438","6752"
"Jan.21","4709","6849","3146","5219","7004"
"Feb.21","4272","6615","2999","4483","6053"
"Mar.21","4966","5385","2582","4562","6351"
"Apr.21","3978","5007","2649","3793","5932"
"May.21","4359","5360","2867","4000","6009"
"Jun.21","4941","6776","3544","5764","7003"
"Jul.21","5378","7246","3888","6474","7647"
"Aug.21","5328","8273","3816","6643","8767"
"Sep.21","4814","7123","3275","5722","7218"
"Oct.21","4335","6253","3257","4821","6444"
"Nov.21","4413","6338","3154","4128","6045"
"Dec.21","5253","6592","3469","4621","6091"
"Jan.22","5464","7970","3680","6340","6946"
